Latitude,Longitude,City,utc arrival,arrival
-7.265736,112.748384,SURABAYA,2024-06-20T12:01:30.460320Z,20-Juni-2024 19:01:30 WIB
-7.978,112.631,MALANG,2024-06-20T12:01:48.634085Z,20-Juni-2024 19:01:48 WIB
-8.170111,113.701106,JEMBER,2024-06-20T12:01:49.447010Z,20-Juni-2024 19:01:49 WIB
-8.218649,114.369829,BANYUWANGI,2024-06-20T12:01:57.136814Z,20-Juni-2024 19:01:57 WIB
-8.066,111.9,TULUNGAGUNG,2024-06-20T12:02:02.604417Z,20-Juni-2024 19:02:02 WIB
-7.569,110.828,SURAKARTA,2024-06-20T12:02:19.835434Z,20-Juni-2024 19:02:19 WIB
-8.179,111.106,PACITAN,2024-06-20T12:02:21.284291Z,20-Juni-2024 19:02:21 WIB
-6.99145,110.42244,SEMARANG,2024-06-20T12:02:26.464563Z,20-Juni-2024 19:02:26 WIB
-7.801396,110.364745,YOGYAKARTA,2024-06-20T12:02:34.085059Z,20-Juni-2024 19:02:34 WIB
-7.424773,109.230102,PURWOKERTO,2024-06-20T12:03:00.962139Z,20-Juni-2024 19:03:00 WIB
-7.72787,109.010895,CILACAP,2024-06-20T12:03:08.793463Z,20-Juni-2024 19:03:08 WIB
